Record Id,Record Id (Revenue Forecast),Record Id (Account Name),Revenue Type,Account Owner,Independent Rep,Market,Products of Interest,Account Name (Account Name),Amount Expected,Amount Received,Revenue Month-Year, Updated forecast ,Sales comments,Opportunity Name,
zcrm_3679507000160381012,zcrm_3679507000160381013,zcrm_3679507000001246188,SOW,Jeff Rogers,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,RN Chidakashi Technologies Pvt. Ltd,"$ 35,000.00",,2023！05, $-   ,,SOW for new wake word and data,
zcrm_3679507000160362010,zcrm_3679507000160362013,zcrm_3679507000142202032,Royalty,Kurt Zhang,U-sand,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,Bothlent,"$ 1,000.00",,2023！09,"$ 1,000.00",,Custom WW of Portuguous for OTT,
zcrm_3679507000160362010,zcrm_3679507000160362014,zcrm_3679507000142202032,Royalty,Kurt Zhang,U-sand,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,Bothlent,"$ 1,000.00",,2023！12,"$ 1,000.00",,Custom WW of Portuguous for OTT,
zcrm_3679507000160362010,zcrm_3679507000160362011,zcrm_3679507000142202032,SOW,Kurt Zhang,U-sand,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,Bothlent,"$ 1,000.00",,2023！07,"$ 1,000.00",,Custom WW of Portuguous for OTT,
zcrm_3679507000160362010,zcrm_3679507000160362012,zcrm_3679507000142202032,License Fee,Kurt Zhang,U-sand,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,Bothlent,"$ 1,000.00",,2023！08,"$ 1,000.00",,Custom WW of Portuguous for OTT,
zcrm_3679507000159965048,zcrm_3679507000159965049,zcrm_3679507000156259070,Other,Jeff Rogers,,FinTech/ Enterprise/ Banking,TrulyHandsFree,Mossa Holdings LLC,"$ 48,000.00",,2023！05,,,Golfing application,
zcrm_3679507000159822063,zcrm_3679507000159822064,zcrm_3679507000156982136,License Fee,Bernie Brafman,,Other,TrulyHandsFree,Triton Sensors LLC,"$ 20,000.00",,2023！05,,,"1.	3D SENSE PRO VAPE DETECTOR AND SCHOOL SAFETY DEVICE",
zcrm_3679507000159356347,zcrm_3679507000159356348,zcrm_3679507000001241131,Support,Bernie Brafman,,PC/ Mobile/ Wearables/ Cameras,TrulyHandsFree; TrulyNatural,Magic Leap Inc.,"$ 5,000.00","$ 5,000.00",2023！04,,,20 Hours Support PO,
zcrm_3679507000159236049,zcrm_3679507000159236050,zcrm_3679507000001246230,SDK,Simon Jeong,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree,LG Uplus,"$ 2,500.00",,2023！05,,,EZVIZ Network THF DA SDK for LG Uplus_JBL Soundbar + STB,
zcrm_3679507000159190058,zcrm_3679507000159190059,zcrm_3679507000001246182,Royalty,San Yuen,,IoT/ Appliance/ Consumer & Home Electronics,TrulyHandsFree; Speech to text; Text to Speech,Cyber Workshop,"$ 2,000.00",,2023！08,,,CBW AIChat TWS/speaker,
